date,cars per hour,rain,temp
05/10/2023 23:00,1904,0,17.1
06/10/2023 00:00,1475,0,16.9
06/10/2023 01:00,1012,0,16.9
06/10/2023 02:00,861,0,16.9
06/10/2023 03:00,994,0.1,17
06/10/2023 04:00,1878,0,17.3
06/10/2023 05:00,3236,0,17.3
06/10/2023 06:00,8972,0,17.2
06/10/2023 07:00,11512,0,17.5
06/10/2023 08:00,11151,0,17.9
06/10/2023 09:00,10259,0,18.5
06/10/2023 10:00,9908,0,19.3
06/10/2023 11:00,10548,0,19.3
06/10/2023 12:00,11649,0,19.9
06/10/2023 13:00,12446,0,20.5
06/10/2023 14:00,12556,0,20.2
06/10/2023 15:00,12508,0,20.2
06/10/2023 16:00,11769,0,19.7
06/10/2023 17:00,10490,0,18.6
06/10/2023 18:00,9590,0,18.5
06/10/2023 19:00,7770,0,18
06/10/2023 20:00,5358,0,17.6
06/10/2023 21:00,3755,0,17.3
06/10/2023 22:00,3035,0,16.8
06/10/2023 23:00,2392,0,16.1
09/10/2023 00:00,1503,0,16.4
09/10/2023 01:00,934,0,15.9
09/10/2023 02:00,727,0,15.6
09/10/2023 03:00,845,0,15.2
09/10/2023 04:00,1646,0,14.8
09/10/2023 05:00,3149,0,14.8
09/10/2023 06:00,9155,0,14.4
09/10/2023 07:00,11735,0,13.3
09/10/2023 08:00,11517,0,14.4
09/10/2023 09:00,10794,0,15.7
09/10/2023 10:00,9417,0,18.3
09/10/2023 11:00,9517,0,19.5
09/10/2023 12:00,9731,0,21.2
09/10/2023 13:00,10041,0,23
09/10/2023 14:00,9922,0,23
09/10/2023 15:00,11745,0,20.4
09/10/2023 16:00,12488,0,18.6
09/10/2023 17:00,11950,0,17.3
09/10/2023 18:00,8960,0,15.6
09/10/2023 19:00,6541,0,14.9
09/10/2023 20:00,4672,0,14.3
09/10/2023 21:00,3443,0,13.8
09/10/2023 22:00,2342,0,13.4
09/10/2023 23:00,1774,0,13.9
10/10/2023 00:00,1337,0,14.2
10/10/2023 01:00,964,0,14.7
10/10/2023 02:00,667,0,14.7
10/10/2023 03:00,814,0,14.6
10/10/2023 04:00,1566,0,14.2
10/10/2023 05:00,3037,0,13.8
10/10/2023 06:00,9443,0,14.4
10/10/2023 07:00,11028,0,15.7
10/10/2023 08:00,10921,0,17.4
10/10/2023 09:00,11551,0,18.6
10/10/2023 10:00,9724,0,19.4
10/10/2023 11:00,9816,0,20.1
10/10/2023 12:00,9813,0,20.9
10/10/2023 13:00,10067,0,21.5
10/10/2023 14:00,10209,0,21.3
10/10/2023 15:00,12096,0,21
10/10/2023 16:00,12640,0,20.3
10/10/2023 17:00,12053,0,19.3
10/10/2023 18:00,10201,0,18.2
10/10/2023 19:00,6964,0,17.6
10/10/2023 20:00,4764,0,17.5
10/10/2023 21:00,3579,0,16.8
10/10/2023 22:00,2614,0,16.4
10/10/2023 23:00,1721,0,16.2
11/10/2023 00:00,1163,0,16
11/10/2023 01:00,894,0.4,15.2
11/10/2023 02:00,668,0,15.2
11/10/2023 03:00,802,0.4,14.8
11/10/2023 04:00,1470,0,15
11/10/2023 05:00,2950,0.8,12.6
11/10/2023 06:00,9022,0.4,11.9
11/10/2023 07:00,11122,0.4,10.4
11/10/2023 08:00,11057,1,10.3
11/10/2023 09:00,10823,0.4,10.2
11/10/2023 10:00,10232,1.2,10.2
11/10/2023 11:00,9797,1,10.4
11/10/2023 12:00,10161,0.4,10.3
11/10/2023 13:00,10506,1.2,10.4
11/10/2023 14:00,10622,0.2,10.3
11/10/2023 15:00,12127,0,10.6
11/10/2023 16:00,12620,0,10.5
11/10/2023 17:00,11490,0,9.7
11/10/2023 18:00,10560,0,7.9
11/10/2023 19:00,7605,0,6.5
11/10/2023 20:00,4908,0,5.6
11/10/2023 21:00,3808,0,5.8
11/10/2023 22:00,2778,0,5.7
11/10/2023 23:00,1916,0,5.5
12/10/2023 00:00,1351,0,5.4
12/10/2023 01:00,863,0,5.3
12/10/2023 02:00,744,0,5.1
12/10/2023 03:00,834,0,5.2
12/10/2023 04:00,1600,0,5.1
12/10/2023 05:00,3042,0,5.4
12/10/2023 06:00,9280,0,4.4
12/10/2023 07:00,11825,0,3.6
12/10/2023 08:00,11875,0,4.7
12/10/2023 09:00,11434,0,7
12/10/2023 10:00,9824,0,10.2
12/10/2023 11:00,9643,0,12.5
12/10/2023 12:00,10227,0,12.8
12/10/2023 13:00,10741,0,13.3
12/10/2023 14:00,10966,0,12.8
12/10/2023 15:00,12473,0,12.6
12/10/2023 16:00,12660,0,12.1
12/10/2023 17:00,11960,0,11.7
12/10/2023 18:00,10758,0,11.2
12/10/2023 19:00,8117,0,11.1
12/10/2023 20:00,5332,0,11.2
12/10/2023 21:00,4081,0,11.2
12/10/2023 22:00,2923,0,11.2
12/10/2023 23:00,2118,0,11.4
13/10/2023 00:00,1481,0,11.2
13/10/2023 01:00,929,0,11.3
13/10/2023 02:00,688,0.1,11.1
13/10/2023 03:00,972,0.5,10.9
13/10/2023 04:00,1878,0.7,10.8
13/10/2023 05:00,3177,0.7,9.9
13/10/2023 06:00,8754,0.5,8.9
13/10/2023 07:00,11464,0.2,8.8
13/10/2023 08:00,10969,0,9.2
13/10/2023 09:00,10275,0,9.8
13/10/2023 10:00,9770,0,10.6
13/10/2023 11:00,10487,0,12.4
13/10/2023 12:00,11477,0,11.9
13/10/2023 13:00,12476,0,13.2
13/10/2023 14:00,12078,0,12.9
13/10/2023 15:00,12044,0,12
13/10/2023 16:00,11876,0,11.9
13/10/2023 17:00,10777,0,9.9
13/10/2023 18:00,9745,0,8.6
13/10/2023 19:00,7958,0,7.9
13/10/2023 20:00,5380,0,7.6
13/10/2023 21:00,4019,0,7.2
13/10/2023 22:00,3187,0,6.6
13/10/2023 23:00,2717,0,6.4
16/10/2023 00:00,1396,0,6.3
16/10/2023 01:00,853,0,6
16/10/2023 02:00,747,0,6.2
16/10/2023 03:00,862,0,5.4
16/10/2023 04:00,1686,0,4.7
16/10/2023 05:00,3220,0,5.1
16/10/2023 06:00,9325,0,5.5
16/10/2023 07:00,11855,0,4.7
16/10/2023 08:00,11501,0,5.6
16/10/2023 09:00,10308,0,8.1
16/10/2023 10:00,9119,0,10.8
16/10/2023 11:00,9213,0,11.6
16/10/2023 12:00,9440,0,12.3
16/10/2023 13:00,9889,0,12.6
16/10/2023 14:00,10107,0,12.6
16/10/2023 15:00,11713,0,11.5
16/10/2023 16:00,9902,0,10.7
16/10/2023 17:00,11955,0,9.6
16/10/2023 18:00,10801,0,8.1
16/10/2023 19:00,6571,0,6.5
16/10/2023 20:00,4584,0,6
16/10/2023 21:00,3485,0,6.8
16/10/2023 22:00,2281,0,7.9
16/10/2023 23:00,1760,0,10.5
17/10/2023 00:00,1380,0,10.6
17/10/2023 01:00,882,0,10.4
17/10/2023 02:00,642,0,10.4
17/10/2023 03:00,740,0,10.8
17/10/2023 04:00,1500,0,11.1
17/10/2023 05:00,3053,0,11.2
17/10/2023 06:00,9538,0,11
17/10/2023 07:00,11672,0,11.2
17/10/2023 08:00,11947,0,11.6
17/10/2023 09:00,11267,0,12.2
17/10/2023 10:00,10054,0,12.4
17/10/2023 11:00,9503,0,12.5
17/10/2023 12:00,9758,0,12.6
17/10/2023 13:00,10228,0,12.6
17/10/2023 14:00,10464,0,12.8
17/10/2023 15:00,12121,0,13.1
17/10/2023 16:00,12786,0,13.2
17/10/2023 17:00,11248,0,13.1
17/10/2023 18:00,9983,0.2,12.7
17/10/2023 19:00,7139,0.7,12.2
17/10/2023 20:00,4464,1.8,11.7
17/10/2023 21:00,3410,1.2,12
17/10/2023 22:00,2506,1.5,11.4
17/10/2023 23:00,1863,2.9,10.7
18/10/2023 00:00,1257,1.8,10.6
18/10/2023 01:00,834,1.3,10.7
18/10/2023 02:00,658,0,11.6
18/10/2023 03:00,835,0,12.1
18/10/2023 04:00,1496,1.3,11.4
18/10/2023 05:00,2934,0.1,12
18/10/2023 06:00,9102,0,12.5
18/10/2023 07:00,10646,0,12.9
18/10/2023 08:00,11426,0,13.2
18/10/2023 09:00,11320,0,13.4
18/10/2023 10:00,10235,0,13.4
18/10/2023 11:00,9441,0,13.6
18/10/2023 12:00,10073,0,13.9
18/10/2023 13:00,10460,0,13.6
18/10/2023 14:00,10727,0,13.8
18/10/2023 15:00,12313,0,13.9
18/10/2023 16:00,11731,0.9,13.1
18/10/2023 17:00,9929,1.8,13.2
18/10/2023 18:00,9424,1.1,13.4
18/10/2023 19:00,8275,0.6,13.4
18/10/2023 20:00,4816,2.1,13.4
18/10/2023 21:00,3653,4.4,13.4
18/10/2023 22:00,2566,4.8,13.3
18/10/2023 23:00,1777,2.6,13.3
19/10/2023 00:00,1341,1,13.1
19/10/2023 01:00,983,2.6,12.9
19/10/2023 02:00,769,2,12.6
19/10/2023 03:00,822,1.2,12.5
19/10/2023 04:00,1541,1.2,12.6
19/10/2023 05:00,2994,1,12.7
19/10/2023 06:00,9115,0.2,12.7
19/10/2023 07:00,11705,0,12.8
19/10/2023 08:00,10877,0.8,13.1
19/10/2023 09:00,10366,0.6,13.4
19/10/2023 10:00,10442,0,13.6
19/10/2023 11:00,10183,0.2,15
19/10/2023 12:00,10277,0,16.2
19/10/2023 13:00,10693,0,17.8
19/10/2023 14:00,10973,0,17.4
19/10/2023 15:00,8913,0,15.9
19/10/2023 16:00,10750,2.2,14.5
19/10/2023 17:00,11270,0.2,14.6
19/10/2023 18:00,10541,2.2,14.6
19/10/2023 19:00,9135,0.4,14.5
19/10/2023 20:00,5499,0,14.3
19/10/2023 21:00,3979,1.2,14.4
19/10/2023 22:00,2873,0.6,13.7
19/10/2023 23:00,2228,0,12.9
20/10/2023 00:00,1472,0,13.2
20/10/2023 01:00,1133,0.1,13.3
20/10/2023 02:00,767,0,13.4
20/10/2023 03:00,962,0,12.5
20/10/2023 04:00,1735,0,11.9
20/10/2023 05:00,3054,0,12.6
20/10/2023 06:00,8876,0,12.5
20/10/2023 07:00,11534,0.3,13.2
20/10/2023 08:00,10975,0,13.5
20/10/2023 09:00,9872,0.4,13.9
20/10/2023 10:00,9891,1.3,13.8
20/10/2023 11:00,10162,2.6,13.1
20/10/2023 12:00,10236,2.5,12.4
20/10/2023 13:00,10248,2.5,11.8
20/10/2023 14:00,10019,3.8,11.3
20/10/2023 15:00,10408,4.5,11.1
20/10/2023 16:00,10657,3,11
20/10/2023 17:00,9827,2.9,10.7
20/10/2023 18:00,8823,3.6,10.3
20/10/2023 19:00,7175,2.7,10.1
20/10/2023 20:00,5106,0.6,9.9
20/10/2023 21:00,3628,0.1,10
20/10/2023 22:00,2857,0,10
20/10/2023 23:00,2284,0.1,9.5
23/10/2023 00:00,1369,0.1,10.1
23/10/2023 01:00,803,1,10.1
23/10/2023 02:00,680,0.6,11.7
23/10/2023 03:00,878,0.4,12
23/10/2023 04:00,1637,0,12.2
23/10/2023 05:00,3185,0.4,12.3
23/10/2023 06:00,9086,0,12.2
23/10/2023 07:00,11148,0,12.5
23/10/2023 08:00,11795,0,12.8
23/10/2023 09:00,10334,0,13.1
23/10/2023 10:00,9754,0,13.5
23/10/2023 11:00,9369,0,13.6
23/10/2023 12:00,9503,0,14
23/10/2023 13:00,10138,0,14.3
23/10/2023 14:00,10137,0,14.4
23/10/2023 15:00,11764,0,13.9
23/10/2023 16:00,11579,0,14
23/10/2023 17:00,11351,0,14.1
23/10/2023 18:00,9741,0,14
23/10/2023 19:00,6386,2.8,10.9
23/10/2023 20:00,4561,1.4,10.9
23/10/2023 21:00,3364,0.6,11
23/10/2023 22:00,2312,0.6,11.2
23/10/2023 23:00,1595,0.8,10.9
24/10/2023 00:00,1382,1.4,10.8
24/10/2023 01:00,874,0,11.2
24/10/2023 02:00,626,0,11.3
24/10/2023 03:00,785,0,10.9
24/10/2023 04:00,1539,0,11
24/10/2023 05:00,2993,0,11.4
24/10/2023 06:00,9383,0,10.4
24/10/2023 07:00,11561,0,9.8
24/10/2023 08:00,11221,0.7,10.1
24/10/2023 09:00,11169,2.6,11.3
24/10/2023 10:00,10355,0.6,12.6
24/10/2023 11:00,10038,0.1,13
24/10/2023 12:00,9927,0,11.9
24/10/2023 13:00,10307,0.4,11.1
24/10/2023 14:00,8664,0.5,12.5
24/10/2023 15:00,11690,0.5,11.8
24/10/2023 16:00,12101,0,10.9
24/10/2023 17:00,11524,0,10.2
24/10/2023 18:00,10748,0,9.2
24/10/2023 19:00,7607,0,8.3
24/10/2023 20:00,4869,0,7.6
24/10/2023 21:00,3572,0,7.4
24/10/2023 22:00,2746,0,6.8
24/10/2023 23:00,1949,0,6.9
25/10/2023 00:00,1224,0.1,6.5
25/10/2023 01:00,921,0,5.6
25/10/2023 02:00,702,0,6.8
25/10/2023 03:00,845,0.6,7.5
25/10/2023 04:00,1624,0.2,7.9
25/10/2023 05:00,3045,0.1,6.8
25/10/2023 06:00,9249,0,5.4
25/10/2023 07:00,10632,0,4.7
25/10/2023 08:00,10092,0,5.1
25/10/2023 09:00,11385,0,7
25/10/2023 10:00,11070,0,10.5
25/10/2023 11:00,10049,0,13
25/10/2023 12:00,10013,0,13
25/10/2023 13:00,10789,0,13.1
25/10/2023 14:00,11065,0,12.4
25/10/2023 15:00,12571,0,12.4
25/10/2023 16:00,12611,0,11.8
25/10/2023 17:00,12056,0,11.7
25/10/2023 18:00,10762,0,11.2
25/10/2023 19:00,8195,0,11.3
25/10/2023 20:00,4988,0,11.4
25/10/2023 21:00,4034,1,10.8
25/10/2023 22:00,2747,0.3,10.9
25/10/2023 23:00,1855,0.5,10.9
26/10/2023 00:00,1374,0,11.3
26/10/2023 01:00,971,0,10.7
26/10/2023 02:00,888,0,10.4
26/10/2023 03:00,932,0,9.3
26/10/2023 04:00,1713,0,8
26/10/2023 05:00,3194,0,7.5
26/10/2023 06:00,9269,0,7.8
26/10/2023 07:00,11657,0.2,8.2
26/10/2023 08:00,11967,0,8.3
26/10/2023 09:00,11423,0,9.5
26/10/2023 10:00,10411,0,11.3
26/10/2023 11:00,10193,0,12.6
26/10/2023 12:00,10775,0,13.2
26/10/2023 13:00,10976,0,15.9
26/10/2023 14:00,11686,0,14.5
26/10/2023 15:00,12020,0,13.9
26/10/2023 16:00,12368,0.1,12.9
26/10/2023 17:00,11806,0,12.2
26/10/2023 18:00,10024,0,11.5
26/10/2023 19:00,8344,0,10.9
26/10/2023 20:00,5729,0,10.3
26/10/2023 21:00,4324,0,9.6
26/10/2023 22:00,3273,0,8.4
26/10/2023 23:00,2280,0,7.1
27/10/2023 00:00,1673,0,6.9
27/10/2023 01:00,1086,0,7.8
27/10/2023 02:00,796,0.1,6.7
27/10/2023 03:00,1109,0,5.8
27/10/2023 04:00,1946,0,5.3
27/10/2023 05:00,3222,0,5.2
27/10/2023 06:00,8729,0,5.7
27/10/2023 07:00,11863,0,6
27/10/2023 08:00,10557,0,7.1
27/10/2023 09:00,9818,0,8.4
27/10/2023 10:00,9851,0,10.7
27/10/2023 11:00,10011,0,12.7
27/10/2023 12:00,10913,0,13.6
27/10/2023 13:00,10101,0,13.3
27/10/2023 14:00,10197,0,14.1
27/10/2023 15:00,11573,0,13.4
27/10/2023 16:00,11326,0,12.6
27/10/2023 17:00,10925,0,11.4
27/10/2023 18:00,9262,0,11.1
27/10/2023 19:00,8026,0,11.5
27/10/2023 20:00,5888,0,11.1
27/10/2023 21:00,4220,0.3,11.1
27/10/2023 22:00,3357,0.6,10.7
27/10/2023 23:00,2541,0,11
